Time_Hr,Van_Concentration_uM,OC6_Concentration_nM,Genotype,OD600,GFP_Fluorescence
0,18,0,Marionette-Clo PVanCC-GFP PLuxB-sRNA_18_D,0.1211,37456
0.250293333,18,0,Marionette-Clo PVanCC-GFP PLuxB-sRNA_18_D,0.1179,30749
0.500295,18,0,Marionette-Clo PVanCC-GFP PLuxB-sRNA_18_D,0.1195,33724
0.752331944,18,0,Marionette-Clo PVanCC-GFP PLuxB-sRNA_18_D,0.1228,46559
1.002336944,18,0,Marionette-Clo PVanCC-GFP PLuxB-sRNA_18_D,0.126,65353
1.252339444,18,0,Marionette-Clo PVanCC-GFP PLuxB-sRNA_18_D,0.1297,101359
1.502343333,18,0,Marionette-Clo PVanCC-GFP PLuxB-sRNA_18_D,0.1349,152604
1.7545475,18,0,Marionette-Clo PVanCC-GFP PLuxB-sRNA_18_D,0.1411,220644
2.004551389,18,0,Marionette-Clo PVanCC-GFP PLuxB-sRNA_18_D,0.1495,301934
2.254553889,18,0,Marionette-Clo PVanCC-GFP PLuxB-sRNA_18_D,0.1597,410175
2.504558611,18,0,Marionette-Clo PVanCC-GFP PLuxB-sRNA_18_D,0.1691,528690
2.756486667,18,0,Marionette-Clo PVanCC-GFP PLuxB-sRNA_18_D,0.1831,664131
3.006489167,18,0,Marionette-Clo PVanCC-GFP PLuxB-sRNA_18_D,0.2005,808492
3.256492778,18,0,Marionette-Clo PVanCC-GFP PLuxB-sRNA_18_D,0.2228,1013642
3.506494444,18,0,Marionette-Clo PVanCC-GFP PLuxB-sRNA_18_D,0.2467,1264509
3.756496944,18,0,Marionette-Clo PVanCC-GFP PLuxB-sRNA_18_D,0.2762,1567220
4.006501667,18,0,Marionette-Clo PVanCC-GFP PLuxB-sRNA_18_D,0.31,1959266
4.256505833,18,0,Marionette-Clo PVanCC-GFP PLuxB-sRNA_18_D,0.3507,2471821
4.5065075,18,0,Marionette-Clo PVanCC-GFP PLuxB-sRNA_18_D,0.3995,3075653
4.758459722,18,0,Marionette-Clo PVanCC-GFP PLuxB-sRNA_18_D,0.4529,3687472
5.008460833,18,0,Marionette-Clo PVanCC-GFP PLuxB-sRNA_18_D,0.5053,4372472
5.258463611,18,0,Marionette-Clo PVanCC-GFP PLuxB-sRNA_18_D,0.5635,4666913
5.508466389,18,0,Marionette-Clo PVanCC-GFP PLuxB-sRNA_18_D,0.6073,4694425
5.758467778,18,0,Marionette-Clo PVanCC-GFP PLuxB-sRNA_18_D,0.6531,4352285
6.008470833,18,0,Marionette-Clo PVanCC-GFP PLuxB-sRNA_18_D,0.677,4058247
6.258472778,18,0,Marionette-Clo PVanCC-GFP PLuxB-sRNA_18_D,0.6874,3736323
6.508475833,18,0,Marionette-Clo PVanCC-GFP PLuxB-sRNA_18_D,0.6992,3301579
6.758476944,18,0,Marionette-Clo PVanCC-GFP PLuxB-sRNA_18_D,0.7122,2904642
7.008477778,18,0,Marionette-Clo PVanCC-GFP PLuxB-sRNA_18_D,0.7125,2539235
7.258481667,18,0,Marionette-Clo PVanCC-GFP PLuxB-sRNA_18_D,0.7099,2238907
7.508485,18,0,Marionette-Clo PVanCC-GFP PLuxB-sRNA_18_D,0.7044,2032850
7.758488333,18,0,Marionette-Clo PVanCC-GFP PLuxB-sRNA_18_D,0.7016,1819100
8.008490556,18,0,Marionette-Clo PVanCC-GFP PLuxB-sRNA_18_D,0.6956,1712792
8.258492778,18,0,Marionette-Clo PVanCC-GFP PLuxB-sRNA_18_D,0.6944,1611824
8.508496111,18,0,Marionette-Clo PVanCC-GFP PLuxB-sRNA_18_D,0.6944,1547633
8.758498056,18,0,Marionette-Clo PVanCC-GFP PLuxB-sRNA_18_D,0.689,1502904
9.008500278,18,0,Marionette-Clo PVanCC-GFP PLuxB-sRNA_18_D,0.6882,1465658
9.258503333,18,0,Marionette-Clo PVanCC-GFP PLuxB-sRNA_18_D,0.684,1420528
9.508505278,18,0,Marionette-Clo PVanCC-GFP PLuxB-sRNA_18_D,0.6875,1411926
9.758506111,18,0,Marionette-Clo PVanCC-GFP PLuxB-sRNA_18_D,0.6824,1378237
10.0085075,18,0,Marionette-Clo PVanCC-GFP PLuxB-sRNA_18_D,0.6804,1378748
10.25851222,18,0,Marionette-Clo PVanCC-GFP PLuxB-sRNA_18_D,0.6791,1369435
10.50851556,18,0,Marionette-Clo PVanCC-GFP PLuxB-sRNA_18_D,0.6741,1362836
10.75851778,18,0,Marionette-Clo PVanCC-GFP PLuxB-sRNA_18_D,0.6777,1364576
11.00852167,18,0,Marionette-Clo PVanCC-GFP PLuxB-sRNA_18_D,0.6755,1338409
