exp_time,od_measured,od_setpoint,od_zero_setpoint,thermostat_setpoint,heating_rate,internal_air_temp,external_air_temp,media_temp,opt_gen_act_int,pump_1_rate,pump_2_rate,pump_3_rate,pump_4_rate,media_vol,stirring_rate,LED_395nm_setpoint,LED_457nm_setpoint,LED_500nm_setpoint,LED_523nm_setpoint,LED_595nm_setpoint,LED_623nm_setpoint,LED_6500K_setpoint,laser_setpoint,LED_UV_int,FP1_base,FP1_emit1,FP1_emit2,FP2_base,FP2_emit1,FP2_emit2,FP3_base,FP3_emit1,FP3_emit2,custom_prog_param1,custom_prog_param2,custom_prog_param3,custom_prog_status,zigzag_target,growth_rate
0.19,0.030718983863791228,0.5,8450.0,37.0,0.5183999999999661,29.5625,32.4375,35.710000000000036,0.0,0.0,0.25,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7560.0,0.048412698412698414,0.01917989417989418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
60.26,0.043468590723154565,0.5,8450.0,37.0,0.3787499999999746,30.125,32.5625,36.39000000000004,0.0,0.0,0.07,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7597.0,0.049361590101355796,0.019481374226668423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
120.33,0.04354250717934262,0.5,8450.0,37.0,0.24834999999997384,30.5,32.5625,36.710000000000036,0.0,0.0,0.07,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7622.0,0.049330884282340594,0.019155077407504592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
180.39,0.043768081063825695,0.5,8450.0,37.0,0.1859499999999712,30.8125,32.6875,37.110000000000014,0.0,0.0,0.07,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7584.0,0.04970991561181434,0.019382911392405063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
240.43,0.04622447925381698,0.5,8450.0,37.0,0.16674999999997017,30.9375,32.75,36.93000000000001,0.0,0.0,0.07,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7589.0,0.049545394650151536,0.019765449993411517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
300.48,0.04843876875249317,0.5,8450.0,37.0,0.2176499999999665,31.0625,32.875,36.97000000000003,0.0,0.0,0.25,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7594.0,0.04938109033447458,0.01935738741111404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
360.52,0.04969889901965644,0.5,8450.0,37.0,0.20434999999996015,31.1875,32.9375,36.97000000000003,0.0,0.0,0.07,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7605.0,0.04944115713346483,0.01893491124260355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.9770468398944918
420.57,0.04821030201652845,0.5,8450.0,37.0,0.19434999999996838,31.25,33.0625,37.13000000000005,0.0,0.0,0.07,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7598.0,0.04909186628060016,0.019347196630692287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.7869643558979746
480.64,0.046399665358370826,0.5,8450.0,37.0,0.17574999999996682,31.4375,33.125,37.01000000000005,0.0,0.0,0.07,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7609.0,0.04954658956498883,0.018793533972926796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.5827746804056175
540.71,0.041219880396109576,0.5,8450.0,37.0,0.20924999999996222,31.5625,33.1875,36.97000000000003,0.0,0.0,0.07,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7654.0,0.04925529135092762,0.01907499346746799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.1485212266577516
600.76,0.04141888082281431,0.5,8450.0,37.0,0.18834999999996532,31.5,33.25,37.09000000000003,0.0,0.0,0.25,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7641.0,0.04855385420756445,0.018714827902107056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.105543649916893
660.82,0.04077050406754369,0.5,8450.0,37.0,0.17564999999995923,31.5625,33.3125,37.210000000000036,0.0,0.0,0.07,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7681.0,0.048301002473636244,0.018617367530269498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0029326025772423
720.87,0.04241814684468577,0.5,8450.0,37.0,0.1711499999999582,31.6875,33.4375,37.09000000000003,0.0,0.0,0.07,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7667.0,0.0489109169166558,0.01930350854310682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0716381180080772
780.93,0.045271049132327684,0.5,8450.0,37.0,0.19844999999995838,31.625,33.5,36.89000000000004,0.0,0.0,0.07,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7652.0,0.048745426032409826,0.01881860951385259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.2133306337641026
840.99,0.04949697798547634,0.5,8450.0,37.0,0.14334999999996073,31.6875,33.5,36.93000000000001,0.0,0.0,0.07,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7680.0,0.048567708333333334,0.018880208333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.4203957442702893
