exp_time,od_measured,od_setpoint,od_zero_setpoint,thermostat_setpoint,heating_rate,internal_air_temp,external_air_temp,media_temp,opt_gen_act_int,pump_1_rate,pump_2_rate,pump_3_rate,pump_4_rate,media_vol,stirring_rate,OC6 (nM),IPTG (uM),,LED_457nm_setpoint,LED_500nm_setpoint,LED_523nm_setpoint,LED_595nm_setpoint,LED_623nm_setpoint,LED_6500K_setpoint,laser_setpoint,LED_UV_int,FP1_base,FP1_emit1,FP1_emit2,FP2_base,FP2_emit1,Background,Background Corrected,Post Induction Average,Normalised FP2,FP2 Moving Average,mScarlet Signal (AU),FP2_emit2,FP3_base,FP3_emit1,FP3_emit2,custom_prog_param1,custom_prog_param2,custom_prog_param3,custom_prog_status,zigzag_target,growth_rate,,,OC6 (nM),IPTG (uM)
0,-0.005813067,0.5,7290,37,0,32,33.375,37.71,0,0,0.25,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,8986,0.03928333,0.016136212,3945,0.049936629,0.049772753,0.000163875,0.122941454,0.001332955,,0,0.037008872,3817,0.022792769,0,0,0,0,0,5,2,,0,0,0
0.02,0.004057233,0.5,7290,37,0.2504,31.9375,33.4375,36.69,0,0,0.07,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9075,0.03922865,0.015977961,3948,0.049898683,,0.00012593,,0.001024306,,0,0.036220871,3807,0.023640662,0,0,0,0,0,5,2,,0,0,0
0.03,0.006159872,0.5,7290,37,0.2803,31.875,33.4375,36.79,0,0,0.07,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9039,0.039274256,0.016041598,3959,0.04976004,,-1.27E-05,,-0.000103405,,0,0.03662541,3807,0.023640662,0,0,0,0,0,5,2,,0,0,0
0.05,0.005619051,0.5,7290,37,0.2257,31.9375,33.5,36.71,0,0,0.07,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9063,0.039170253,0.01577844,3977,0.050037717,,0.000264964,,0.002155202,,0,0.036459643,3826,0.023523262,0,0,0,0,0,5,2,,0,0,0
0.07,0.002811885,0.5,7290,37,0.2152,32.0625,33.5625,36.81,0,0,0.07,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9074,0.039232973,0.016420542,3980,0.049748744,,-2.40E-05,,-0.000195292,,0,0.036180905,3835,0.023468057,0,0,0,0,0,5,2,,0,0,0
0.08,-0.001943195,0.5,7290,37,0.29275,32,33.5,36.63,0,0,0.25,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9018,0.039476602,0.015635396,3984,0.049447791,,-0.000324962,,-0.002643226,,0,0.035893574,3833,0.022958518,0,0,0,0,0,5,2,,0,0,0
0.1,-0.001388951,0.5,7290,37,0.2135,32.0625,33.5625,37.03,0,0,0.07,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9082,0.039198414,0.015965646,4002,0.049975012,,0.000202259,,0.001645168,,0,0.036481759,3812,0.023347324,0,0,0,0,0,5,2,,0,0,0
0.12,-0.00049087,0.5,7290,37,0.2176,32,33.5625,36.95,0,0,0.07,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9040,0.039048673,0.016261062,3962,0.048712771,,-0.001059982,,-0.008621843,,0,0.036597678,3835,0.022425033,0,0,0,0,0,5,2,,0,0,0
0.13,-0.001311801,0.5,7290,37,0.2209,32,33.5625,36.97,0,0,0.07,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9084,0.039299868,0.015852048,3970,0.049622166,,-0.000150587,,-0.001224867,,0,0.036523929,3811,0.022303857,0,0,0,0,0,5,2,,0,0,0
0.15,-0.00010747,0.5,7290,37,0.1953,32.0625,33.5625,36.93,0,0,0.07,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9184,0.039198606,0.015788328,4028,0.049900695,,0.000127942,,0.001040674,,0,0.035998014,3853,0.02361796,0,0,0,0,0,5,2,,0,0,0
0.17,0.005105409,0.5,7290,37,0.24675,32.125,33.625,36.85,0,0,0.25,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9141,0.039383,0.0157532,3963,0.049709816,,-6.29E-05,,-0.00051193,-0.001466464,0,0.035831441,3794,0.023458092,0,0,0,0,0,5,2,2.397034777,0.000665843,0,0
