exp_time,od_measured,Van,OC6 ,IPTG,FP1_emit1,FP3_emit1
0.19,-0.001776801,0,0,0,0.057919622,0.03031032
60.25,0.002830109,0,0,0,0.057788945,0.030728285
120.29,0.007104642,0,0,0,0.057692308,0.031796117
180.36,-0.000565618,0,0,0,0.057880677,0.030104394
240.4,0.003298865,0,0,0,0.057481481,0.030478955
300.46,-0.00303198,0,0,0,0.057743559,0.030347172
360.51,-0.003136472,0,0,0,0.05799466,0.030510129
420.57,0.002038817,0,0,0,0.058519285,0.030478955
480.61,-0.001768113,0,0,0,0.058204976,0.030895486
540.65,-0.002950544,0,0,0,0.057627119,0.030295744
600.7,-0.001850643,0,0,0,0.058005327,0.03048633
660.74,-0.000418648,0,0,0,0.058216654,0.030376085
720.81,0.004320997,0,0,0,0.058075957,0.03097024
780.86,0.004343183,0,0,0,0.058422301,0.030384054
840.91,4.17E-06,0,0,0,0.057934509,0.030214425
900.96,0.005365482,0,0,0,0.05837037,0.0306868
961.03,0.006936786,0,0,0,0.058431953,0.030810286
1021.1,0.003986118,0,0,0,0.058230849,0.030480371
1081.13,0.003266461,0,0,0,0.058449245,0.029995162
1141.19,-0.002321716,0,0,0,0.058058797,0.031219748
1201.27,-0.003675112,0,0,0,0.058457896,0.030493708
1261.31,0.000934062,0,0,0,0.057488208,0.030649477
1321.35,-0.004253743,0,0,0,0.058510638,0.030694275
1381.43,0.00269273,0,0,0,0.058588549,0.030221789
1441.5,0.00175983,0,0,0,0.058335801,0.030656934
1501.54,0.004346744,0,0,0,0.058232338,0.030237059
1561.61,0.003986727,0,0,0,0.058397398,0.030495243
1621.67,0.003322407,0,0,0,0.058274021,0.030691155
1681.71,-0.003214036,0,0,0,0.058710441,0.030361914
1741.78,-0.004430449,0,0,0,0.057712177,0.030273674
1801.84,0.001540899,0,0,0,0.058432935,0.030758053
1861.89,0.001783444,0,0,0,0.058110306,0.030855199
1921.95,0.004948585,0,0,0,0.058449245,0.030523256
1982.03,0.001457333,0,0,0,0.058380136,0.030932818
2042.08,0.005396601,0,0,0,0.058354262,0.030772959
2102.13,0.003184075,0,0,0,0.058189337,0.029958927
2162.16,0.005279247,0,0,0,0.058327165,0.030716724
2222.2,0.009209183,0,0,0,0.058562555,0.030560272
2282.28,0.005347573,0,0,0,0.058067376,0.029261156
2342.34,0.002641292,0,0,0,0.058161906,0.030347172
2402.39,0.007386017,0,0,0,0.058389855,0.030627127
2462.43,0.002919768,0,0,0,0.057919622,0.030111705
2522.47,0.008389684,0,0,0,0.057806032,0.030902945
2582.54,-0.00021653,0,0,0,0.058136095,0.030925344
2642.58,0.000806877,0,0,0,0.058492522,0.030739205
2702.65,0.001125626,0,0,0,0.058024509,0.031173892
2762.71,0.007711292,0,0,0,0.057788945,0.030369291
2822.77,0.007572144,0,0,0,0.058216654,0.030435841
2882.83,0.005491795,0,0,0,0.057433929,0.03020783
2942.89,0.00644257,0,0,0,0.058397398,0.030634573
3002.96,0.006466262,0,0,0,0.058293979,0.030627127
3062.99,0.001949776,0,0,0,0.058366329,0.030664395
3123.06,0.000997583,0,0,0,0.058110306,0.03030303
3183.11,0.005198864,0,0,0,0.05770366,0.030229157
3243.17,0.001763339,0,0,0,0.058075957,0.030694275
3303.23,0.032970976,0,0,0,0.057279236,0.031058939
3363.3,0.034999499,0,0,0,0.057651845,0.03107275
3423.36,0.023827673,0,0,0,0.057182901,0.030114485
3483.44,0.027572374,0,0,0,0.057255122,0.031678723
3543.49,0.024657993,0,0,0,0.057363254,0.030325628
3603.53,0.022818781,0,0,0,0.057418273,0.030700668
3663.6,0.021320097,0,0,0,0.056907159,0.030891878
3723.68,0.023582642,0,0,0,0.056846473,0.030784508
3783.75,0.028580372,0,0,0,0.057531962,0.03013834
3843.82,0.025533815,0,0,0,0.057138885,0.030830433
3903.89,0.027249503,0,0,0,0.057447107,0.031195841
3963.95,0.02897684,0,0,0,0.057317752,0.03034789
4024.01,0.032693992,0,0,0,0.057341684,0.031040477
4084.08,0.031462044,0,0,0,0.057027328,0.030416355
4144.15,0.035512872,0,0,0,0.057222222,0.030899576
4204.21,0.040097398,0,0,0,0.057541899,0.031172687
4264.28,0.034383704,0,0,0,0.057178458,0.030677882
4324.35,0.03380219,0,0,0,0.057250313,0.03042394
4384.41,0.039931202,0,0,0,0.057107128,0.029426434
4444.47,0.034990134,0,0,0,0.057506221,0.030994297
4504.51,0.041417573,0,0,0,0.056807187,0.029764882
4564.56,0.033956813,0,0,0,0.057444152,0.031552795
4624.63,0.03821409,0,0,0,0.056980452,0.028855721
4684.7,0.039875908,0,0,0,0.057356608,0.030318091
4744.77,0.038707823,0,0,0,0.057268119,0.030250434
4804.84,0.032177512,0,0,0,0.057344203,0.030167041
4864.91,0.036685252,0,0,0,0.056956763,0.030386052
4924.97,0.03778774,0,0,0,0.057032649,0.030280467
4985.04,0.036753043,0,0,0,0.057134971,0.029426434
5045.08,0.037773653,0,0,0,0.056357388,0.029485257
5105.16,0.037704436,0,0,0,0.057198121,0.030295443
5165.24,0.043841217,0,0,0,0.057330057,0.031203195
5225.31,0.036349252,0,0,0,0.057244591,0.030439122
5285.37,0.039375944,0,0,0,0.056774547,0.030422953
5345.45,0.041689996,0,0,0,0.056782334,0.029798858
5405.5,0.039235785,0,0,0,0.057205721,0.029463171
5465.55,0.037960734,0,0,0,0.056830601,0.03125
5525.63,0.050372571,0,0,0,0.056846133,0.030689909
5585.67,0.044841694,0,0,0,0.057288089,0.030543829
5645.72,0.040827912,0,0,0,0.056916131,0.031350284
5705.79,0.048688295,0,0,0,0.057170146,0.030597015
5765.86,0.052003475,0,0,0,0.056328423,0.030589406
5825.91,0.04576724,0,0,0,0.056897257,0.030830433
5885.95,0.050124284,0,0,0,0.056585894,0.031007752
5946,0.042241742,0,0,0,0.056527591,0.030408774
6006.06,0.047172707,0,0,0,0.056824361,0.030680968
6066.11,0.045011252,0,0,0,0.056790458,0.03072274
6126.18,0.047665287,0,0,0,0.05680425,0.030757689
6186.21,0.049157686,0,0,0,0.056453786,0.030561122
6246.29,0.051492112,0,0,0,0.056204181,0.030431529
6306.36,0.051253204,0,0,0,0.056988521,0.029404436
6366.4,0.051217969,0,0,0,0.057042444,0.030341023
6426.47,0.052403183,0,0,0,0.056902859,0.030105369
6486.55,0.056228237,0,0,0,0.056809025,0.030475719
6546.61,0.059083075,0,0,0,0.056845476,0.030265443
6606.64,0.063996798,0,0,0,0.056750941,0.031108881
6666.71,0.061496445,0,0,0,0.056601255,0.031132312
6726.78,0.061263589,0,0,0,0.056729997,0.030530531
6786.85,0.057982572,0,0,0,0.056860651,0.031358885
6846.92,0.060297512,0,0,0,0.056608812,0.030196276
6907,0.055891003,0,0,0,0.056633663,0.03072274
6967.05,0.056936657,0,0,0,0.056586271,0.030645566
7027.09,0.063071877,0,0,0,0.056416369,0.031054345
7087.14,0.06756264,0,0,0,0.056273063,0.029828109
7147.2,0.065100566,0,0,0,0.056300973,0.03021148
7207.27,0.061441787,0,0,0,0.056541749,0.030834796
7267.34,0.067293403,0,0,0,0.056197479,0.031
7327.38,0.069914909,0,0,0,0.056306892,0.030295443
7387.44,0.072151825,0,0,0,0.05613851,0.029932652
7447.49,0.068624648,0,0,0,0.056319581,0.031367629
7507.57,0.078844414,0,0,0,0.056283936,0.030463243
7567.65,0.076581437,0,0,0,0.05640284,0.030310685
7627.72,0.07451228,0,0,0,0.056680162,0.029967263
7687.78,0.078005658,0,0,0,0.056023146,0.03028786
7747.84,0.076955988,0,0,0,0.056251631,0.030295443
7807.87,0.077903497,0,0,0,0.055806743,0.031531532
7867.91,0.086841009,0,0,0,0.056056701,0.02938222
7927.95,0.082086838,0,0,0,0.05597305,0.030651341
7988.03,0.078302297,0,0,0,0.055880855,0.030487805
8048.09,0.081069524,0,0,0,0.055960437,0.030280091
8108.13,0.086870129,0,0,0,0.056151097,0.030699547
8168.19,0.083477278,0,0,0,0.055746468,0.030726955
8228.22,0.087819494,0,0,0,0.055421073,0.031116688
8288.26,0.094106589,0,0,0,0.05585883,0.03071066
8348.33,0.095694754,0,0,0,0.055856083,0.030990174
8408.41,0.102046157,0,0,0,0.055943169,0.03043368
8468.44,0.096991476,0,0,0,0.056196879,0.030218385
8528.5,0.092314027,0,0,0,0.055646895,0.03006569
8588.53,0.098131603,0,0,0,0.055583438,0.031939163
8648.57,0.106936348,0,0,0,0.055786425,0.030188679
8708.61,0.105271664,0,0,0,0.055562524,0.030140485
8768.69,0.099946934,0,0,0,0.05541061,0.030761473
8828.74,0.104434516,0,0,0,0.055618048,0.030493952
8888.81,0.106936397,0,0,0,0.055430712,0.031242062
8948.85,0.110197102,0,0,0,0.055075729,0.030495553
9008.91,0.109530496,0,0,0,0.055930087,0.030769231
9068.98,0.112025588,0,0,0,0.055693376,0.031558185
9129.03,0.11837795,0,0,0,0.055678195,0.030656195
9189.13,0.121902455,0,0,0,0.055066876,0.030702867
9249.19,0.11940717,0,0,0,0.054889741,0.031273269
9309.25,0.125501948,0,0,0,0.054972875,0.03092006
9369.33,0.128946937,0,0,0,0.055172414,0.029885057
9429.37,0.124594044,0,0,0,0.055222969,0.031005798
9489.44,0.130429759,0,0,0,0.054619338,0.031438632
9549.47,0.136773622,0,0,0,0.054799427,0.030410542
9609.54,0.130535731,0,0,0,0.054736345,0.031490015
9669.64,0.135145863,0,0,0,0.054674556,0.031329598
9729.69,0.141863371,0,0,0,0.05501885,0.031051158
9789.73,0.148392327,0,0,0,0.055048077,0.03161857
9849.77,0.143544212,0,0,0,0.054329969,0.031421446
9909.82,0.145938012,0,0,0,0.054632663,0.03129771
9969.89,0.157848053,0,0,0,0.055163336,0.031973817
10029.94,0.151175329,0,0,0,0.054673926,0.031952965
10089.99,0.157961322,0,0,0,0.054139409,0.031670823
10150.07,0.157327902,0,0,0,0.054339104,0.031123482
10210.15,0.166064195,0,0,0,0.054103413,0.031147953
10270.21,0.172654655,0,0,0,0.053466445,0.031761787
10330.25,0.173188908,0,0,0,0.05413041,0.031714569
10390.29,0.180178949,0,0,0,0.054589428,0.031161473
10450.36,0.182731537,0,0,0,0.054227205,0.031336174
10510.43,0.195965421,0,0,0,0.054379644,0.031076301
10570.47,0.189189039,0,0,0,0.054414089,0.031635802
10630.51,0.197992836,0,0,0,0.054898841,0.031615634
10690.57,0.190823017,0,0,0,0.053561689,0.031547321
10750.64,0.20139292,0,0,0,0.053579129,0.030858003
10810.68,0.20099396,0,0,0,0.053482855,0.031202818
10870.75,0.20906755,0,0,0,0.053485125,0.031888391
10930.82,0.211361396,0,0,0,0.053579129,0.031715052
10990.9,0.216876835,0,0,0,0.054138354,0.031318816
11050.94,0.216236029,0,0,0,0.053418803,0.030682376
11111.01,0.226000262,0,0,0,0.053161372,0.031374502
11171.08,0.224263433,0,0,0,0.052653486,0.032312515
11231.11,0.231728574,0,0,0,0.053310768,0.031273269
11291.18,0.235214192,0,0,0,0.052718627,0.031029263
11351.22,0.234365328,0,0,0,0.054122021,0.031451213
11411.27,0.24174632,0,0,0,0.053300021,0.031734133
11471.33,0.239762807,0,0,0,0.053899946,0.031715976
11531.39,0.240865183,0,0,0,0.052857581,0.031392284
11591.44,0.25311734,0,0,0,0.05338703,0.030691155
11651.48,0.254717153,0,0,0,0.053428779,0.031584062
11711.53,0.263216193,0,0,0,0.052909516,0.030817763
11771.57,0.258123767,0,0,0,0.053619581,0.031120836
11831.62,0.27267784,0,0,0,0.053067826,0.032250415
11891.68,0.290182862,0,0,0,0.052531137,0.031486742
11951.77,0.284426658,0,0,0,0.052438541,0.031363088
12011.84,0.276367056,0,0,0,0.052579365,0.031119824
12071.89,0.286930576,0,0,0,0.052564729,0.031355523
12131.95,0.294561086,0,0,0,0.052961391,0.031061883
12192,0.29298565,0,0,0,0.052424897,0.031949627
12252.07,0.297576869,0,0,0,0.052007213,0.031528279
12312.14,0.298469918,0,0,0,0.052081353,0.031919962
12372.2,0.304315513,0,0,0,0.052253999,0.031670084
12432.24,0.309114975,0,0,0,0.052098001,0.032119914
12492.3,0.324452816,0,0,0,0.0507266,0.031353135
12552.37,0.316472129,0,0,0,0.052146951,0.031293143
12612.43,0.329618203,0,0,0,0.051628423,0.031156243
12672.46,0.333462212,0,0,0,0.052449568,0.030952961
12732.54,0.343895515,0,0,0,0.051703554,0.032102729
12792.58,0.337177541,0,0,0,0.051302785,0.031994704
12852.65,0.3491134,0,0,0,0.050959338,0.031710079
12912.7,0.347205906,0,0,0,0.052114243,0.031802912
12972.78,0.357739239,0,0,0,0.051551957,0.032103825
13032.81,0.354802785,0,0,0,0.051664544,0.03197478
13092.89,0.365307275,0,0,0,0.051201672,0.03130713
13152.95,0.376317849,0,0,0,0.051079659,0.031478608
13212.99,0.376274136,0,0,0,0.050704965,0.032307692
13273.04,0.373931661,0,0,0,0.051038213,0.032416723
13333.08,0.377152257,0,0,0,0.050785251,0.03214671
13393.15,0.385493798,0,0,0,0.050058207,0.032606438
13453.19,0.395569918,0,0,0,0.051167964,0.031759843
13513.23,0.403651812,0,0,0,0.050510925,0.031243172
13573.3,0.392557194,0,0,0,0.050736913,0.032210526
13633.37,0.400002677,0,0,0,0.051264167,0.032368703
13693.45,0.418393982,0,0,0,0.050257518,0.032501076
13753.51,0.430098106,0,0,0,0.050834403,0.032380527
13813.55,0.429916692,0,0,0,0.050248797,0.03171521
13873.63,0.424692827,0,0,0,0.050378449,0.032176656
13933.67,0.436975722,0,0,0,0.050642416,0.032922685
13993.71,0.442290317,0,0,0,0.05051172,0.032712133
14053.77,0.446956562,0,0,0,0.050258039,0.032765957
14113.86,0.449447862,0,0,0,0.050890377,0.032773284
14173.9,0.457337607,0,0,0,0.050523072,0.032683847
14233.95,0.476317062,0,0,0,0.049886798,0.032399666
14293.99,0.491871694,0,0,0,0.050230488,0.030856679
14354.03,0.485104311,0,0,0,0.049559301,0.032660903
14414.08,0.494969426,0,0,0,0.050366009,0.032580452
14474.14,0.499096479,0,0,0,0.049329035,0.032327167
14534.21,0.487160482,0,0,0,0.049864078,0.03235807
14594.28,0.514010966,0,0,0,0.049980952,0.032359905
14654.35,0.527471623,0,0,0,0.048997773,0.032770801
14714.4,0.516676645,0,0,0,0.048929884,0.032060162
14774.46,0.532103953,0,0,0,0.049603175,0.032415215
14834.51,0.543624236,0,0,0,0.048549724,0.032206406
14894.57,0.562319138,0,0,0,0.049981096,0.032486388
14954.64,0.542363512,0,0,0,0.049604338,0.032713755
15014.68,0.480655834,0,0,0,0.049381774,0.032182563
15074.73,0.457695207,0,0,0,0.050024166,0.031652247
15134.77,0.457661794,0,0,0,0.049948871,0.03196347
15194.81,0.462760377,0,0,0,0.049995987,0.032931554
15254.89,0.472118421,0,0,0,0.050007925,0.032443532
15314.92,0.476326395,0,0,0,0.049507202,0.032563891
15374.95,0.484927839,0,0,0,0.050180053,0.031894934
15435.02,0.502021117,0,0,0,0.05,0.03266129
15495.09,0.49354132,0,0,0,0.048865874,0.032052558
15555.15,0.519900757,0,0,0,0.050003841,0.032264372
15615.22,0.515936626,0,0,0,0.049562027,0.032026398
15675.28,0.541177583,0,0,0,0.048984381,0.032086614
15735.35,0.531893256,0,0,0,0.04961321,0.032122905
15795.4,0.540128827,0,0,0,0.048878377,0.032669631
