Time,Van,OC6,IPTG,Sponge Circuit + mutagenised mScarlet-I,Sponge Circuit + mScarlet-I,Sponge Circuit,Negative Control Sponge Circuit + mScarlet
0,0,0,0,0.044957852,0.041922932,0.045890303,0.044482464
0.02,0,0,0,0.044482331,0.041880878,0.046289032,0.044615573
0.03,0,0,0,0.04461901,0.041797022,0.046105429,0.044869437
0.05,0,0,0,0.045261,0.041509907,0.04627451,0.044887476
0.07,0,0,0,0.044635865,0.041572752,0.0460547,0.044686582
0.08,0,0,0,0.044617785,0.041489095,0.04619736,0.04446073
0.1,0,0,0,0.045117526,0.041588375,0.045883092,0.044674376
0.12,0,0,0,0.045304389,0.041932657,0.045962537,0.044876498
0.13,0,0,0,0.044996853,0.040938592,0.045711593,0.044645035
0.15,0,0,0,0.045166403,0.041547099,0.045883092,0.044474229
0.17,0,0,0,0.044747998,0.041786563,0.046161093,0.044571987
0.18,0,0,0,0.044347961,0.041718711,0.045825487,0.044523054
0.2,0,0,0,0.045022194,0.041614596,0.045211931,0.044501655
0.22,0,0,0,0.045211931,0.041349157,0.045525903,0.044479843
0.23,0,0,0,0.045070423,0.041599001,0.045782377,0.044430845
0.25,0,0,0,0.044649851,0.041645823,0.045618435,0.044624249
0.27,0,0,0,0.045009476,0.041426783,0.045511222,0.044607843
0.28,0,0,0,0.044712896,0.041635502,0.045425967,0.044482464
0.3,0,0,0,0.0449069,0.04123969,0.045861473,0.045003066
0.32,0,0,0,0.044333437,0.041287265,0.045761912,0.044463498
0.33,0,0,0,0.044344173,0.041297567,0.045582707,0.044623263
0.35,0,0,0,0.04488583,0.041385346,0.045825487,0.044477028
0.37,0,0,0,0.044507131,0.041463719,0.045062019,0.04461331
0.38,0,0,0,0.044486216,0.041318187,0.045076174,0.044730392
0.4,0,0,0,0.044818818,0.041562656,0.045447447,0.044533919
0.42,0,0,0,0.044487717,0.041322314,0.045098653,0.044593769
0.43,0,0,0,0.043672387,0.042253521,0.045230769,0.04427818
0.45,0,0,0,0.043308731,0.041218228,0.045475929,0.044558698
0.47,0,0,0,0.043979205,0.041590494,0.044341866,0.044137262
0.48,0,0,0,0.042776321,0.04109589,0.044076752,0.043145292
0.5,0,0,0,0.04321245,0.041253561,0.044358192,0.043351666
0.52,0,0,0,0.043009285,0.041384067,0.044395117,0.042858674
0.53,0,0,0,0.043125944,0.041395826,0.044641619,0.043398665
0.55,0,0,0,0.043136714,0.041386387,0.044127819,0.043219881
0.57,0,0,0,0.043197139,0.041281788,0.044611738,0.043047783
0.58,0,0,0,0.043466224,0.04159505,0.044441368,0.043251305
0.6,0,0,0,0.043007807,0.041361974,0.044327469,0.043315107
0.62,0,0,0,0.043681319,0.040800181,0.044441368,0.042972915
0.63,0,0,0,0.043418332,0.041505131,0.044233154,0.042978723
0.65,0,0,0,0.043526323,0.041274937,0.044453677,0.042954594
0.67,0,0,0,0.043532167,0.041295272,0.043848797,0.043024494
0.68,0,0,0,0.043851287,0.041412084,0.04437379,0.043162393
0.7,0,0,0,0.043436293,0.041290614,0.044625587,0.043482917
0.72,0,0,0,0.044205001,0.041028571,0.04384509,0.043403891
0.73,0,0,0,0.043010753,0.041458428,0.044205001,0.0430779
0.75,0,0,0,0.043681962,0.041676156,0.044286495,0.043303335
0.77,0,0,0,0.043150685,0.041444306,0.044566713,0.043006174
0.78,0,0,0,0.043264638,0.04131296,0.044210238,0.043200681
0.8,0,0,0,0.043554953,0.04137931,0.043638347,0.043227666
0.82,0,0,0,0.043266631,0.041366906,0.044265868,0.042852574
0.83,0,0,0,0.043715103,0.041690398,0.044289044,0.04310984
0.85,0,0,0,0.043543339,0.041530301,0.044289044,0.043060686
0.87,0,0,0,0.04361585,0.04139409,0.044145873,0.042999365
0.88,0,0,0,0.043062845,0.04227587,0.043744057,0.043196085
0.9,0,0,0,0.043602671,0.041450777,0.043680044,0.043211184
0.92,0,0,0,0.043507543,0.041812239,0.04446263,0.043302479
0.93,0,0,0,0.043537047,0.041516245,0.044404973,0.042773954
0.95,0,0,0,0.04382524,0.041884817,0.044474761,0.04293325
0.97,0,0,0,0.043368365,0.041549691,0.044414169,0.043006219
0.98,0,0,0,0.043518889,0.041406946,0.044167457,0.042696165
1,0,0,0,0.043097732,0.041574279,0.043905724,0.043020833
1.02,0,0,0,0.043842168,0.041676028,0.044305518,0.042781305
1.03,0,0,0,0.042817497,0.04143984,0.044414536,0.042959427
1.05,0,0,0,0.043588715,0.041574033,0.043678161,0.042944152
1.07,0,0,0,0.043170275,0.041814552,0.044167002,0.04336895
1.08,0,0,0,0.042838371,0.041860982,0.044151299,0.042929554
1.1,0,0,0,0.042970271,0.041847042,0.044390961,0.043161726
1.12,0,0,0,0.043736786,0.041801001,0.043993004,0.042823481
1.13,0,0,0,0.044129446,0.041996213,0.043893383,0.042933443
1.15,0,0,0,0.043495664,0.042095934,0.043786051,0.042915811
1.17,0,0,0,0.043175853,0.041837299,0.044056968,0.042954265
1.18,0,0,0,0.042646114,0.041522116,0.043880518,0.042803146
1.2,0,0,0,0.043325069,0.041516836,0.043829449,0.042936573
1.22,0,0,0,0.043517562,0.04164873,0.043938592,0.042751692
1.23,0,0,0,0.043005181,0.041707291,0.04377547,0.042708228
1.25,0,0,0,0.043084487,0.04176611,0.043863126,0.042922841
1.27,0,0,0,0.042921204,0.04172043,0.043330723,0.042806304
1.28,0,0,0,0.042434252,0.041894553,0.043942993,0.042411601
1.3,0,0,0,0.042596608,0.041824273,0.043802301,0.043144087
1.32,0,0,0,0.043139757,0.041657673,0.043370669,0.042736758
1.33,0,0,0,0.042858944,0.041859963,0.043568735,0.042593706
1.35,0,0,0,0.042790227,0.042210947,0.04338367,0.042525515
1.37,0,0,0,0.043222506,0.041746949,0.043091214,0.042597765
1.38,0,0,0,0.04320673,0.042129327,0.043794672,0.042615061
1.4,0,0,0,0.042410714,0.041777683,0.043418072,0.042947242
1.42,0,0,0,0.042952513,0.041889865,0.043667007,0.042761209
