PTac-EGFP.1 Time (s) ,PTac-EGFP.1 IPTG (nM),PTac-EGFP.1 EGFP (nM),PTac-EGFP.1 Growth Rate (s^(-1)),PTac-EGFP.2 Time (s) ,PTac-EGFP.2 IPTG (nM),PTac-EGFP.2 EGFP (nM),PTac-EGFP.2 Growth Rate (s^(-1)),PLuxB-EGFP.1 Time (s),PLuxB-EGFP.1 OC6 (nM),PLuxB-EGFP.1 EGFP (nM),PLuxB-EGFP.1 Growth Rate (s^(-1)),PLuxB-EGFP.2 Time (s),PLuxB-EGFP.2 OC6 (nM),PLuxB-EGFP.2 EGFP (nM),PLuxB-EGFP.2 Growth Rate (s^(-1)),PLuxB-EGFP.3 Time (s),PLuxB-EGFP.3 OC6 (nM),PLuxB-EGFP.3 EGFP (nM),PLuxB-EGFP.3 Growth Rate (s^(-1)),PLuxB-EGFP.4 Time (s),PLuxB-EGFP.4 OC6 (nM),PLuxB-EGFP.4 EGFP (nM),PLuxB-EGFP.4 Growth Rate (s^(-1)),PVanCC-EGFP.1 Time (s),PVanCC-EGFP.1 Vanillic Acid (nM),PVanCC-EGFP.1 EGFP (nM),PVanCC-EGFP.1 Growth Rate,PVanCC-EGFP.2 Time (s),PVanCC-EGFP.2 Vanillic Acid (nM),PVanCC-EGFP.2 EGFP (nM),PVanCC-EGFP.2 Growth Rate,PVanCC-EGFP.3 Time (s),PVanCC-EGFP.3 Vanillic Acid (nM),PVanCC-EGFP.3 EGFP (nM),PVanCC-EGFP.3 Growth Rate,PTac-mScarlet.1 Time (s),PTac-mScarlet.1 IPTG (nM),PTac-mScarlet.1 mScarlet-I (nM),PTac-mScarlet.1 Growth Rate,PTac-mScarlet.3 Time (s),PTac-mScarlet.3 IPTG (nM),PTac-mScarlet.3 mScarlet-I (nM),PTac-mScarlet.3 Growth Rate,PVanCC-EGFP.4 Time (s),PVanCC-EGFP.4 Vanillic Acid (nM),PVanCC-EGFP.4 EGFP (nM),PVanCC-EGFP.4 Growth Rate,PTac-EGFP.3 Time (s) ,PTac-EGFP.3 IPTG (nM),PTac-EGFP.3 EGFP (nM),PTac-EGFP.3 Growth Rate (s^(-1)),PLuxB-EGFP.5 Time (s),PLuxB-EGFP.5 OC6 (nM),PLuxB-EGFP.5 EGFP (nM),PLuxB-EGFP.5 Growth Rate (s^(-1)),PTac-ChbBC-mScarlet-I.1 Time (s),PTac-ChbBC-mScarlet-I.1 IPTG (nM),PTac-ChbBC-mScarlet-I.1 mScarlet-I (nM),PTac-ChbBC-mScarlet-I.1 Growth Rate,PTac-ChbBC-mScarlet-I.2 Time (s),PTac-ChbBC-mScarlet-I.2 IPTG (nM),PTac-ChbBC-mScarlet-I.2 mScarlet-I (nM),PTac-ChbBC-mScarlet-I.2 Growth Rate,PTac-ChbBC-mScarlet-I.3 Time (s),PTac-ChbBC-mScarlet-I.3 IPTG (nM),PTac-ChbBC-mScarlet-I.3 mScarlet-I (nM),PTac-ChbBC-mScarlet-I.3 Growth Rate,PTac-ChbBC-mScarlet-I.4 Time (s),PTac-ChbBC-mScarlet-I.4 IPTG (nM),PTac-ChbBC-mScarlet-I.4 mScarlet-I (nM),PTac-ChbBC-mScarlet-I.4 Growth Rate,PVanCC-EGFP_PLuxB-sRNA20D.1 Time (s),PVanCC-EGFP_PLuxB-sRNA20D.1 Vanillic Acid (nM),PVanCC-EGFP_PLuxB-sRNA20D.1 OC6 (nM),PVanCC-EGFP_PLuxB-sRNA20D.1 EGFP (nM),PVanCC-EGFP_PLuxB-sRNA20D.1 Growth Rate,PVanCC-EGFP_PLuxB-sRNA20D.2 Time (s),PVanCC-EGFP_PLuxB-sRNA20D.2 Vanillic Acid (nM),PVanCC-EGFP_PLuxB-sRNA20D.2 OC6 (nM),PVanCC-EGFP_PLuxB-sRNA20D.2 EGFP (nM),PVanCC-EGFP_PLuxB-sRNA20D.2 Growth Rate,Sponge Circuit 1.3.1 Time (s),Sponge Circuit 1.3.1 Vanillic Acid (nM),Sponge Circuit 1.3.1 OC6 (nM),Sponge Circuit 1.3.1 IPTG (nM),Sponge Circuit 1.3.1 EGFP (nM),Sponge Circuit 1.3.1 Growth Rate ,Sponge Circuit 1.3.2 Time (s),Sponge Circuit 1.3.2 Vanillic Acid (nM),Sponge Circuit 1.3.2 OC6 (nM),Sponge Circuit 1.3.2 IPTG (nM),Sponge Circuit 1.3.2 EGFP (nM),Sponge Circuit 1.3.2 Growth Rate ,Sponge Circuit 1.4.1 Time (s),Sponge Circuit 1.4.1 Vanillic Acid (nM),Sponge Circuit 1.4.1 OC6 (nM),Sponge Circuit 1.4.1 IPTG (nM),Sponge Circuit 1.4.1 EGFP (nM),Sponge Circuit 1.4.1 mScarlet-I (nM),Sponge Circuit 1.4.1 Growth Rate ,Sponge Circuit 1.4.2 Time (s),Sponge Circuit 1.4.2 Vanillic Acid (nM),Sponge Circuit 1.4.2 OC6 (nM),Sponge Circuit 1.4.2 IPTG (nM),Sponge Circuit 1.4.2 EGFP (nM),Sponge Circuit 1.4.2 mScarlet-I (nM),Sponge Circuit 1.4.2 Growth Rate ,Sponge Circuit 1.4.3 Time (s),Sponge Circuit 1.4.3 Vanillic Acid (nM),Sponge Circuit 1.4.3 OC6 (nM),Sponge Circuit 1.4.3 IPTG (nM),Sponge Circuit 1.4.3 EGFP (nM),Sponge Circuit 1.4.3 mScarlet-I (nM),Sponge Circuit 1.4.3 Growth Rate ,Sponge Circuit 1.4.4 Time (s),Sponge Circuit 1.4.4 Vanillic Acid (nM),Sponge Circuit 1.4.4 OC6 (nM),Sponge Circuit 1.4.4 IPTG (nM),Sponge Circuit 1.4.4 EGFP (nM),Sponge Circuit 1.4.4 mScarlet-I (nM),Sponge Circuit 1.4.4 Growth Rate 
0,0,0,0.00029404,0,0,465.924023,0.0003096040,0,0,0,0.000313068,0,0,0,0.00033196,0,0,0,0.000335869,0,0,0,0.000329534,0,0,0,0.000307047,0,0,0,0.000299169,0,0,0,0.000339693,0,0,0,0.000424495,0,0,60.4149957,0.000342176,0,0,0,0.000328897,0,0,0,0.000325632,0,0,0,0.000341542,0,0,0,0.000324787,0,0,0,0.00027989,0,0,0,0.000348503,0,0,0,0.000347032,0,0,0,0,0.000398085,0,0,0,0,0.000334555,0,0,0,0,0,0.000328236,0,0,0,0,0,0.000349313,0,0,0,0,0,1.628463183,0.000337735,0,0,0,0,538.0017561,0,0.000319525,0,0,0,0,65.0511589,18.5243904,0.00032469,0,0,0,0,0,16.44500661,0.000308854
60.05,0,0,0.000289783,60.04,0,402.2269215,0.0003096260,60.06,0,0,0.000313104,60.03,0,0,0.00033146,60.05,0,0,0.000335888,60.05,0,0,0.000330017,60.07,0,0,0.000306856,60.04,0,0,0.000299336,60.07,0,0,0.000339268,60.06,0,0,0.000426298,60.08,0,38.3811371,0.000342864,60.05,0,0,0.000328874,60.06,0,0,0.00032596,60.04,0,0,0.000341616,60.05,0,0,0.000325505,60.06,0,0,0.000280007,60.07,0,0,0.000349085,60.08,0,0,0.000347001,60.05,0,0,0,0.000398445,60.05,0,0,0,0.000334318,60.07,0,0,0,0,0.00032797,60.06,0,0,0,0,0.000349375,60.05,0,0,0,0,0,0.000337566,60.05,0,0,0,367.6093265,0,0.000319701,60.05,0,0,0,0,11.26873662,0.000324957,60.05,0,0,0,0,11.26852701,0.000308912
120.09,0,0,0.000288879,120.08,0,316.2290816,0.0003097910,120.12,0,0,0.000313214,120.08,0,0,0.000330997,120.11,0,0,0.000336042,120.11,0,0,0.000330329,120.16,0,0,0.000306477,120.12,0,0,0.000299684,120.14,0,0,0.000338746,120.12,0,0,0.00042761,120.15,0,20.44422378,0.000343307,120.12,0,0,0.000328635,120.12,0,0,0.000326348,120.1,0,0,0.000341692,120.11,0,0,0.000326102,120.13,0,0,0.000280133,120.18,0,0,0.000349589,120.12,0,0,0.000346908,120.11,0,0,0,0.000398645,120.11,0,0,0,0.000334045,120.12,0,0,0,0,0.000327736,120.14,0,0,0,0,0.000349227,120.08,0,0,0,0,0,0.00033749,120.1,0,0,0,484.018524,0,0.000319953,120.08,0,0,0,0,10.85137601,0.000325147,120.1,0,0,0,0,0,0.000309076
180.13,0,36.04080197,0.000296208,180.15,0,67.19867983,0.0003099410,180.19,0,0,0.000313322,180.12,0,0,0.000330455,180.18,0,0,0.000336086,180.14,0,0,0.00033065,180.2,0,0,0.000306027,180.16,0,0,0.00029967,180.19,0,0,0.000338109,180.21,0,0,0.000428809,180.22,0,17.55117324,0.000343717,180.17,0,0,0.000328639,180.17,0,0,0.000326565,180.17,0,0,0.000341712,180.16,0,0,0.000326665,180.21,0,0,0.000280258,180.23,0,0,0.000349929,180.17,0,0,0.0003469,180.18,0,0,0,0.000398514,180.17,0,0,0,0.000333796,180.19,0,0,0,0,0.000327573,180.2,0,0,0,0,0.000349139,180.15,0,0,0,0,0,0.000337476,180.17,0,0,0,402.2425152,0,0.000320315,180.16,0,0,0,0,27.25685867,0.000325474,180.14,0,0,0,0,0,0.000309272
240.21,0,56.78126348,0.000302537,240.22,0,0,0.0003098140,240.26,0,0,0.000313471,240.2,0,0,0.000329885,240.23,0,0,0.000336138,240.21,0,0,0.000330952,240.24,0,0,0.000305542,240.22,0,0,0.000299681,240.23,0,0,0.000337376,240.25,0,0,0.000430454,240.26,0,16.43252704,0.000344278,240.22,0,0,0.000328584,240.21,0,0,0.000326853,240.21,0,0,0.000341708,240.24,0,0,0.000327157,240.27,0,0,0.000280383,240.28,0,0,0.00035021,240.23,0,0,0.000346858,240.25,0,0,0,0.000398452,240.22,0,0,0,0.000333462,240.23,0,0,0,0,0.000327444,240.27,0,0,0,0,0.000349132,240.2,0,0,0,0,0.422194159,0.000337529,240.22,0,0,0,321.8544163,0,0.000320753,240.23,0,0,0,0,10.56243404,0.000325829,240.22,0,0,0,0,12.36016556,0.00030946
300.28,0,0,0.000305389,300.28,0,0,0.0003095770,300.3,0,0,0.000313568,300.26,0,0,0.000329247,300.28,0,0,0.000336033,300.27,0,0,0.000331247,300.29,0,0,0.000304972,300.26,0,0,0.00029959,300.3,0,0,0.000336599,300.33,0,0,0.000431937,300.3,0,2.37615884,0.000344628,300.28,0,0,0.000328609,300.26,0,0,0.000327186,300.26,0,0,0.000341706,300.28,0,0,0.000327775,300.33,0,0,0.0002805,300.32,0,0,0.000350304,300.3,0,0,0.000346893,300.31,0,0,0,0.000398343,300.29,0,0,0,0.00033319,300.29,0,0,0,103.1038501,0.000327259,300.32,0,0,0,0,0.00034907,300.26,0,0,0,0,5.729777866,0.000337324,300.29,0,0,0,403.611981,0,0.000321079,300.3,0,0,0,0,17.17599457,0.000325961,300.26,0,0,0,76.51291202,2.67979658,0.000309534
360.36,0,0,0.000311407,360.32,0,0,0.0003091530,360.33,0,0,0.000313918,360.3,0,0,0.000328626,360.32,0,0,0.000336049,360.32,0,0,0.000331758,360.35,0,0,0.000304498,360.3,0,0,0.000299528,360.37,0,0,0.000335905,360.42,0,0,0.000433605,360.35,0,10.37640792,0.000344595,360.32,0,0,0.000328649,360.34,0,0,0.000327568,360.3,0,0,0.000341585,360.36,0,0,0.000328084,360.4,0,0,0.000280798,360.37,0,0,0.000350582,360.36,0,0,0.000346829,360.35,0,0,0,0.000398167,360.34,0,0,0,0.000333042,360.34,0,0,0,90.58644973,0.000327092,360.37,0,0,0,0,0.000348955,360.32,0,0,0,0,10.28344343,0.000337163,360.35,0,0,0,514.6078694,0,0.000321372,360.35,0,0,0,0,7.640909732,0.00032618,360.33,0,0,0,125.0497372,0,0.000309711
420.41,0,0,0.000315351,420.38,0,0,0.0003086270,420.4,0,0,0.000314362,420.35,0,0,0.000328187,420.37,0,0,0.000336147,420.39,0,0,0.00033231,420.42,0,0,0.000303882,420.34,0,0,0.000299583,420.42,0,0,0.000335214,420.49,0,52.80666827,0.000435123,420.39,0,6.133267134,0.000344672,420.36,0,0,0.000328759,420.39,0,0,0.000328035,420.34,0,0,0.000341097,420.39,0,0,0.000328092,420.48,0,0,0.00028096,420.43,0,0,0.000350625,420.39,0,0,0.000346665,420.39,0,0,0,0.000397964,420.41,0,0,0,0.000332945,420.38,0,0,0,15.84439357,0.000326844,420.41,0,0,0,0,0.000348987,420.37,0,0,0,0,18.6066997,0.000336956,420.43,0,0,0,640.96529,0,0.000321594,420.42,0,0,0,0,9.952445449,0.000326412,420.37,0,0,0,289.535645,0,0.000309901
480.48,0,0,0.000319708,480.47,0,0,0.0003080470,480.45,0,0,0.000314618,480.43,0,0,0.000327574,480.43,0,0,0.000336364,480.45,0,0,0.000332807,480.46,0,0,0.000303256,480.42,0,0,0.000299851,480.49,0,0,0.000334584,480.53,0,125.5289943,0.000436647,480.43,0,9.797797812,0.000344876,480.41,0,0,0.000328797,480.45,0,0,0.000328393,480.39,0,0,0.000340485,480.46,0,0,0.000328029,480.55,0,0,0.000281232,480.47,0,0,0.00035067,480.44,0,0,0.00034667,480.44,0,0,0,0.000397709,480.47,0,0,0,0.000332753,480.46,0,0,0,0,0.00032677,480.45,0,0,0,0,0.000348917,480.44,0,0,0,0,32.87173562,0.000336881,480.48,0,0,0,644.790111,0,0.000321827,480.46,0,0,0,0,0,0.000326599,480.42,0,0,0,299.3104223,0,0.000310092
540.54,0,0,0.000321993,540.53,0,148.8911925,0.0003074680,540.52,0,0,0.000315041,540.5,0,0,0.000327058,540.5,0,0,0.00033652,540.51,0,0,0.000333179,540.51,0,0,0.00030269,540.48,0,0,0.000300151,540.55,0,0,0.000333937,540.56,0,102.1431841,0.000438251,540.48,0,15.1981588,0.000345262,540.46,0,0,0.00032897,540.49,0,0,0.000328815,540.45,0,0,0.000339911,540.52,0,0,0.000328034,540.62,0,0,0.000281298,540.52,0,0,0.000350634,540.48,0,0,0.000346541,540.48,0,0,0,0.000397606,540.54,0,0,0,0.000332486,540.5,0,0,0,0,0.000326649,540.5,0,0,0,0,0.000348773,540.53,0,0,0,0,25.39196296,0.000336733,540.52,0,0,0,643.8425514,0,0.000322063,540.5,0,0,0,0,0,0.000326917,540.49,0,0,0,302.6810352,0,0.000310209
