exp_time,od_measured,od_setpoint,od_zero_setpoint,thermostat_setpoint,heating_rate,internal_air_temp,external_air_temp,media_temp,opt_gen_act_int,pump_1_rate,pump_2_rate,pump_3_rate,pump_4_rate,media_vol,stirring_rate,LED_395nm_setpoint,Van,OC6,IPTG,LED_457nm_setpoint,LED_500nm_setpoint,LED_523nm_setpoint,LED_595nm_setpoint,LED_623nm_setpoint,LED_6500K_setpoint,laser_setpoint,LED_UV_int,FP1_base,FP1_emit1,FP1_emit2,FP2_base,FP2_emit1,FP2_emit2,FP3_base,FP3_emit1,FP3_emit2,custom_prog_param1,custom_prog_param2,custom_prog_param3,custom_prog_status,zigzag_target,growth_rate
0.19,-0.008336975,0.5,8468,37,0.2012,32,34.1875,36.65,0,0,0.25,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10647,0.034751573,0.014933784,0,0,0,0,0,0,0,0,0,0,5,2
60.23,-0.008595522,0.5,8468,37,0.25415,32.125,34.1875,36.41,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10632,0.034800602,0.014766742,0,0,0,0,0,0,0,0,0,0,5,2
120.29,-0.006732627,0.5,8468,37,0.25175,32.1875,34.1875,36.55,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10596,0.034824462,0.014628162,0,0,0,0,0,0,0,0,0,0,5,2
180.35,-0.005743623,0.5,8468,37,0.21105,32.3125,34.3125,36.79,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10587,0.035042977,0.014640597,0,0,0,0,0,0,0,0,0,0,5,2
240.42,-0.003765722,0.5,8468,37,0.22675,32.4375,34.3125,36.71,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10563,0.035027928,0.015052542,0,0,0,0,0,0,0,0,0,0,5,2
300.48,0.000920106,0.5,8468,37,0.17795,32.4375,34.4375,36.65,0,0,0.25,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10656,0.034816066,0.01463964,0,0,0,0,0,0,0,0,0,0,5,2
360.53,0.006086143,0.5,8468,37,0.19425,32.5,34.375,36.79,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10596,0.034824462,0.014439411,0,0,0,0,0,0,0,0,0,0,5,7.567841687
420.6,0.003619059,0.5,8468,37,0.23115,32.5625,34.4375,36.71,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10600,0.03490566,0.014622642,0,0,0,0,0,0,0,0,0,0,5,5.630048501
480.67,0.012098415,0.5,8468,37,0.15085,32.625,34.5,36.89,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10558,0.034760371,0.014680811,0,0,0,0,0,0,0,0,0,0,5,8.969126991
540.71,0.005766175,0.5,8468,37,0.22415,32.625,34.4375,36.77,0,0,0.07,0,0,20,0.5,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10651,0.034738522,0.014646512,0,0,0,0,0,0,0,0,0,0,5,6.297474367
