exp_time,od_measured,od_setpoint,od_zero_setpoint,thermostat_setpoint,heating_rate,internal_air_temp,external_air_temp,media_temp,opt_gen_act_int,pump_1_rate,pump_2_rate,pump_3_rate,pump_4_rate,media_vol,stirring_rate,Van,OC6,IPTG,LED_457nm_setpoint,LED_500nm_setpoint,LED_523nm_setpoint,LED_595nm_setpoint,LED_623nm_setpoint,LED_6500K_setpoint,laser_setpoint,LED_UV_int,FP1_base,FP1_emit1,FP1_emit2,FP2_base,FP2_emit1,FP2_emit2,FP3_base,FP3_emit1,FP3_emit2,custom_prog_param1,custom_prog_param2,custom_prog_param3,custom_prog_status,zigzag_target,growth_rate
0.21,0.010242074,0.5,6401,37,0.18235,32.25,34.5,36.81,0,0,0.25,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10159,0.041736391,0.01752141,0,0,0,0,0,0,0,0,0,0,5,2
60.28,0.008150547,0.5,6401,37,0.217,32.1875,34.5625,36.69,0,0,0.07,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10215,0.042094958,0.01732746,0,0,0,0,0,0,0,0,0,0,5,2
120.37,0.003305212,0.5,6401,37,0.2133,32.25,34.5625,36.81,0,0,0.07,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10169,0.042285377,0.017700856,0,0,0,0,0,0,0,0,0,0,5,2
180.45,-0.005134937,0.5,6401,37,0.156,32.1875,34.625,37.03,0,0,0.07,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10200,0.042058824,0.017647059,0,0,0,0,0,0,0,0,0,0,5,2
240.5,-0.001568235,0.5,6401,37,0.1584,32.3125,34.625,36.85,0,0,0.07,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10330,0.041819942,0.017521781,0,0,0,0,0,0,0,0,0,0,5,2
300.57,-0.00583866,0.5,6401,37,0.1446,32.4375,34.6875,36.77,0,0,0.25,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10198,0.04216513,0.017846637,0,0,0,0,0,0,0,0,0,0,5,2
360.61,0.007044109,0.5,6401,37,0.1514,32.3125,34.75,36.69,0,0,0.07,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10294,0.041966194,0.017485914,0,0,0,0,0,0,0,0,0,0,5,2
420.65,0.010663008,0.5,6401,37,0.2053,32.5,34.75,37.01,0,0,0.07,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10320,0.041957364,0.017732558,0,0,0,0,0,0,0,0,0,0,5,3.143766684
480.7,0.007923496,0.5,6401,37,0.1338,32.4375,34.8125,37.05,0,0,0.07,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10215,0.042388644,0.017816936,0,0,0,0,0,0,0,0,0,0,5,2.095734081
540.76,0.000764773,0.5,6401,37,0.2139,32.6875,34.8125,36.87,0,0,0.07,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10361,0.04208088,0.017276325,0,0,0,0,0,0,0,0,0,0,5,-5.023077871
