exp_time,od_measured,od_setpoint,od_zero_setpoint,thermostat_setpoint,heating_rate,internal_air_temp,external_air_temp,media_temp,opt_gen_act_int,pump_1_rate,pump_2_rate,pump_3_rate,pump_4_rate,media_vol,stirring_rate,Van,OC6,IPTG,LED_457nm_setpoint,LED_500nm_setpoint,LED_523nm_setpoint,LED_595nm_setpoint,LED_623nm_setpoint,LED_6500K_setpoint,laser_setpoint,LED_UV_int,FP1_base,FP1_emit1,FP1_emit2,FP2_base,FP2_emit1,FP2_emit2,FP3_base,FP3_emit1,FP3_emit2,custom_prog_param1,custom_prog_param2,custom_prog_param3,custom_prog_status,zigzag_target,growth_rate
0.19,0.002845795,0.5,6181,37,0.18325,33.0625,34.625,36.87,0,0,0.25,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10593,0.041442462,0.017275559,3943,0.042607152,0.034998732,3051,0.02589315,0,0,0,0,0,5,2
60.26,0.013133517,0.5,6181,37,0.2064,32.9375,34.6875,36.85,0,0,0.07,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10601,0.041316857,0.0168852,3906,0.04249872,0.035330261,3061,0.025481869,0,0,0,0,0,5,2
120.33,0.072397995,0.5,6181,37,0.1417,32.8125,34.75,36.95,0,0,0.07,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10549,0.041615319,0.017158024,3884,0.042224511,0.034757981,3046,0.025607354,0,0,0,0,0,5,2
180.4,0.009247591,0.5,6181,37,0.1202,32.9375,34.75,36.97,0,0,0.07,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10503,0.04160716,0.017423593,3922,0.042070372,0.034676186,3046,0.025279054,0,0,0,0,0,5,2
240.47,0.017240774,0.5,6181,37,0.1676,32.9375,34.8125,37.03,0,0,0.07,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10657,0.041287417,0.016984142,3910,0.042199488,0.035038363,3042,0.026627219,0,0,0,0,0,5,2
300.54,0.016580603,0.5,6181,37,0.20715,33.0625,34.875,36.79,0,0,0.25,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10643,0.041435685,0.017006483,3948,0.042299899,0.034447822,3042,0.025969757,0,0,0,0,0,5,2
360.6,0.007216312,0.5,6181,37,0.1308,33.0625,34.8125,37.09,0,0,0.07,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10536,0.041381929,0.017274108,3950,0.042278481,0.035189873,3041,0.024991779,0,0,0,0,0,5,-0.595668376
420.67,0.008590974,0.5,6181,37,0.1449,33.0625,34.875,36.95,0,0,0.07,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10558,0.0412957,0.017048683,3946,0.042321338,0.034718702,3045,0.026272578,0,0,0,0,0,5,-0.042780771
480.74,0.003685774,0.5,6181,37,0.1596,33.0625,34.9375,36.95,0,0,0.07,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10580,0.041304348,0.017013233,3935,0.042439644,0.035069886,3069,0.025415445,0,0,0,0,0,5,-2.579336777
540.81,0.040195559,0.5,6181,37,0.1917,33.0625,34.9375,37.01,0,0,0.07,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10573,0.041804597,0.017213657,3919,0.042357744,0.034957897,3104,0.026095361,0,0,0,0,0,5,4.717458273
600.85,0.008268397,0.5,6181,37,0.22745,33.0625,34.9375,36.71,0,0,0.25,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10625,0.041129412,0.016941176,3951,0.04226778,0.035180967,3044,0.025952694,0,0,0,0,0,5,-0.262362334
660.91,0.004427668,0.5,6181,37,0.147,33,34.875,37.19,0,0,0.07,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10549,0.041330932,0.017158024,3936,0.042174797,0.035315041,3069,0.025415445,0,0,0,0,0,5,-2.122947252
720.98,0.002551267,0.5,6181,37,0.1299,33,34.8125,37.11,0,0,0.07,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10603,0.041120438,0.016693389,3939,0.042396547,0.034780401,3076,0.025682705,0,0,0,0,0,5,-3.670648717
781.05,0.005820188,0.5,6181,37,0.1416,33,34.8125,37.05,0,0,0.07,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10571,0.041244915,0.01683852,3970,0.042065491,0.034760705,3037,0.027000329,0,0,0,0,0,5,-1.012888674
841.1,0.005142434,0.5,6181,37,0.1369,33,34.8125,37.01,0,0,0.07,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10569,0.04125272,0.017125556,3992,0.042334669,0.03507014,3044,0.025295664,0,0,0,0,0,5,-1.333662359
901.17,0.005044355,0.5,6181,37,0.1672,33,34.875,36.93,0,0,0,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10535,0.041480778,0.017180826,3939,0.042142676,0.034780401,3061,0.02613525,0,0,0,0,0,5,-1.324749196
961.25,0.005760104,0.5,6181,37,0.1381,33.0625,34.875,36.89,0,0,0,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10570,0.04153264,0.016840114,3951,0.04226778,0.035434067,3047,0.02559895,0,0,0,0,0,5,-0.860454926
