exp_time,od_measured,od_setpoint,od_zero_setpoint,thermostat_setpoint,heating_rate,internal_air_temp,external_air_temp,media_temp,opt_gen_act_int,pump_1_rate,pump_2_rate,pump_3_rate,pump_4_rate,media_vol,stirring_rate,Van,OC6,IPTG,LED_457nm_setpoint,LED_500nm_setpoint,LED_523nm_setpoint,LED_595nm_setpoint,LED_623nm_setpoint,LED_6500K_setpoint,laser_setpoint,LED_UV_int,FP1_base,FP1_emit1,FP1_emit2,FP2_base,FP2_emit1,FP2_emit2,FP3_base,FP3_emit1,FP3_emit2,custom_prog_param1,custom_prog_param2,custom_prog_param3,custom_prog_status,zigzag_target,growth_rate
0.24,0.006961139,0.5,5727,37,0,32.9375,34.6875,36.69,0,0,0.25,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2
60.29,0.00819484,0.5,5727,37,0.1639,32.9375,34.75,36.77,0,0,0.07,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10296,0.040306915,0.016802642,3889,0.041398817,0.034713294,3052,0.025229358,0,0,0,0,0,5,2
120.34,0.010931511,0.5,5727,37,0.1705,32.8125,34.8125,36.85,0,0,0.07,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10303,0.040570708,0.016985344,3908,0.041453429,0.035056295,3051,0.025237627,0,0,0,0,0,5,2
180.4,0.011430447,0.5,5727,37,0.1034,33,34.8125,36.81,0,0,0.07,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10351,0.040382572,0.016520143,3889,0.042427359,0.034713294,3061,0.025481869,0,0,0,0,0,5,2
240.47,0.012483976,0.5,5727,37,0.1302,32.875,34.8125,36.77,0,0,0.07,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10335,0.040251572,0.016642477,3906,0.041730671,0.035074245,3063,0.025138753,0,0,0,0,0,5,2
300.52,0.008570544,0.5,5727,37,0.22275,32.8125,34.875,36.73,0,0,0.25,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10389,0.040234864,0.016652228,3870,0.041343669,0.034883721,3038,0.024687294,0,0,0,0,0,5,2
360.56,0.015464277,0.5,5727,37,0.1208,33,34.875,37.05,0,0,0.07,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10363,0.040046319,0.01659751,3875,0.042322581,0.035096774,3054,0.025212836,0,0,0,0,0,5,3.670604122
420.63,0.016067686,0.5,5727,37,0.1608,33.0625,34.9375,36.89,0,0,0.07,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10274,0.040393226,0.016838622,3896,0.042864476,0.034907598,3034,0.025708635,0,0,0,0,0,5,3.601906581
480.7,0.017631073,0.5,5727,37,0.1823,32.875,34.9375,36.87,0,0,0.07,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10292,0.040419743,0.016809172,3897,0.041827046,0.035668463,3079,0.02500812,0,0,0,0,0,5,3.700369318
540.75,0.017240213,0.5,5727,37,0.1676,33,34.875,36.87,0,0,0.07,0,0,20,0.5,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,10288,0.040727061,0.017010109,3878,0.04228984,0.035069624,3074,0.025048796,0,0,0,0,0,5,3.448096019
